@relation train_big

@attribute AccX1 numeric
@attribute AccZ1 numeric
@attribute GyrY1 numeric
@attribute AccX2 numeric
@attribute AccZ2 numeric
@attribute GyrY2 numeric
@attribute AccX3 numeric
@attribute AccZ3 numeric
@attribute GyrY3 numeric
@attribute AccX4 numeric
@attribute AccZ4 numeric
@attribute GyrY4 numeric
@attribute AccX5 numeric
@attribute AccZ5 numeric
@attribute GyrY5 numeric
@attribute AccX6 numeric
@attribute AccZ6 numeric
@attribute GyrY6 numeric
@attribute AccX7 numeric
@attribute AccZ7 numeric
@attribute GyrY7 numeric
@attribute AccX8 numeric
@attribute AccZ8 numeric
@attribute GyrY8 numeric
@attribute AccX9 numeric
@attribute AccZ9 numeric
@attribute GyrY9 numeric
@attribute AccX10 numeric
@attribute AccZ10 numeric
@attribute GyrY10 numeric
@attribute AccX11 numeric
@attribute AccZ11 numeric
@attribute GyrY11 numeric
@attribute AccX12 numeric
@attribute AccZ12 numeric
@attribute GyrY12 numeric
@attribute AccX13 numeric
@attribute AccZ13 numeric
@attribute GyrY13 numeric
@attribute AccX14 numeric
@attribute AccZ14 numeric
@attribute GyrY14 numeric
@attribute AccX15 numeric
@attribute AccZ15 numeric
@attribute GyrY15 numeric
@attribute AccX16 numeric
@attribute AccZ16 numeric
@attribute GyrY16 numeric
@attribute AccX17 numeric
@attribute AccZ17 numeric
@attribute GyrY17 numeric
@attribute AccX18 numeric
@attribute AccZ18 numeric
@attribute GyrY18 numeric
@attribute AccX19 numeric
@attribute AccZ19 numeric
@attribute GyrY19 numeric
@attribute AccX20 numeric
@attribute AccZ20 numeric
@attribute GyrY20 numeric
@attribute Label {up,down,left,right,tilt_left,tilt_right}

@data
982,-101,-18780,770,-112,35975,-1090,-18,-43109,-1330,302,-26829,-626,-413,46402,748,27,8231,361,76,2134,397,39,3719,-52,-39,-12804,-61,90,121,-39,24,6768,16,-74,2500,-27,-8,-8292,70,20,-1280,27,69,3780,-39,-35,4451,-24,0,1341,9,-36,-5853,-61,38,-3170,112,13,2378,up
1011,235,-40670,364,-266,52804,-1086,234,-63658,-2040,-288,19207,466,-167,47743,684,57,-21158,322,71,-8597,153,81,-17378,131,198,20670,-99,91,13231,-25,-110,11097,45,-89,-4085,-104,52,-7560,51,-1,8475,23,-25,0,89,-90,1768,-102,78,-7500,19,8,1219,27,-41,-792,63,86,-5792,up
1040,-117,-17134,292,246,-2865,-337,-557,33902,-2650,448,-48902,67,-163,57500,1003,-199,-14512,364,149,-30792,-104,33,9512,257,55,24634,-53,13,-9451,-29,-19,3963,-23,34,-10426,110,15,9085,29,77,-10426,-29,-8,11097,30,-68,3414,-138,17,-8170,169,-22,13719,-84,-15,-10914,12,24,-3414,up
1160,20,-31402,647,76,16219,-1489,-335,-9451,-1662,392,-62987,41,-413,110182,749,-135,8780,406,247,-38719,9,83,-1402,176,-62,29695,3,66,-19695,-43,-30,-2317,12,34,16036,-42,-12,-11768,22,34,3353,39,12,365,14,-43,1707,-48,34,-6524,-6,-23,3963,-8,19,2012,67,-55,7012,up
1263,239,-23170,418,-112,32012,-946,-170,-13597,-2827,-112,-65000,570,-156,60000,1002,43,-18292,236,308,-7743,277,48,27317,-9,30,-7804,-18,-15,7926,89,-15,2682,-6,-58,1341,-82,80,-6402,44,39,2926,-87,-79,-5060,48,22,4695,-36,29,-3780,-8,-27,182,44,-8,487,-20,13,-1402,up
1023,-159,9695,128,67,-4573,-402,-208,25548,-638,393,-73780,-1648,-563,1219,710,166,45670,368,-43,32134,357,225,-54756,103,-31,19756,-15,28,792,21,-22,1402,-99,58,-7012,97,-84,6707,-62,55,-2195,71,10,6158,9,11,-4878,-39,-10,-5853,-15,33,6402,38,-27,1524,-7,21,-4817,up
938,-18,-15792,461,-146,28353,57,24,6036,-1927,235,-64512,-873,-235,24573,551,-52,49939,477,129,-33597,193,74,-17073,126,62,22804,-69,50,6036,78,-97,1585,-13,-21,487,-11,43,-5426,72,-71,1951,-65,41,-5182,0,41,3231,1,-17,-6951,-22,16,5914,-40,-34,-2500,36,34,2865,up
905,-130,-1768,829,231,-14878,-397,-505,60060,-2085,495,-120731,-1093,-146,6341,1293,21,60304,319,-7,-10487,60,100,28414,283,-103,9939,-154,84,-19329,23,-51,2378,92,-58,3292,-51,35,853,-47,70,-14817,101,-26,11829,-23,37,-792,-67,-61,-731,116,122,8109,-101,0,-5914,-13,-154,-3475,up
1189,136,-34939,650,-362,67804,-1943,106,-47500,-1379,133,8109,552,67,17195,682,-144,-16463,113,-134,8841,342,153,182,-112,-2,-8048,-18,-14,5304,-47,-29,7560,58,14,-2926,5,41,-5975,-53,-47,-3231,-7,-27,6341,7,59,-1951,50,-4,-853,-25,37,731,-23,-11,2378,31,-36,60,up
1014,185,-28963,771,104,33963,-1390,-108,3536,-1850,-398,15000,-14,145,-27073,873,-59,16158,447,143,-25792,-21,26,19207,39,0,-17500,58,9,9207,-18,7,426,26,-21,3048,12,21,-1280,10,35,-8902,-31,-42,9817,19,25,792,20,-21,-5060,-28,11,1890,-21,29,-1768,-10,-15,1402,up
763,-18,38414,277,-14,15487,484,-186,46097,-1793,259,-52256,-1303,-260,-69573,457,-14,20426,585,-98,-10548,482,130,2256,19,16,5243,39,12,-6463,20,74,-3231,83,61,6280,-56,-39,1951,-61,7,8597,63,-40,1951,-43,13,-9085,0,29,6707,-33,-14,-1646,49,9,3292,22,-29,-731,up
817,93,-33353,542,-27,37926,-154,0,44085,-2111,215,-23719,-778,-187,-73109,892,-196,38841,468,-97,-16829,316,182,9207,64,172,10426,5,15,7012,-53,-58,487,-25,-43,-6158,4,47,11402,-35,-75,-4695,58,43,7195,46,-14,-7134,-91,-13,-4756,8,25,2195,46,-1,1524,-2,-10,-3841,up
999,-5,10731,392,-141,3658,-690,221,26585,-1413,126,548,-829,-273,-77134,942,-292,24146,161,114,24451,281,201,-15121,182,57,5487,47,-56,-3231,-87,-71,-1707,-17,20,6341,4,123,-1158,51,-70,-7317,-41,29,4146,-36,-14,4573,-39,2,-4512,39,-23,1524,12,10,426,16,4,1036,up
931,-89,-15487,429,-116,17804,-356,231,-27865,-567,-6,-853,-2021,-20,-60914,540,-78,73109,476,-90,-1280,351,153,3963,27,109,28170,208,-1,-3475,111,-47,-5670,-47,10,-6585,-68,-97,-5731,0,68,5304,-30,17,-2560,31,0,10243,-39,3,-6768,77,-1,-3902,0,31,1890,6,-27,-5182,up
